"","year","quarter","GEOID","N_housing"
"1",2010,4,"06075060100",8
"2",2010,4,"06075030301",2
"3",2010,4,"06075030800",1
"4",2010,4,"06075061500",2
"5",2010,4,"06075017802",1
"6",2010,4,"06075015300",1
"7",2010,4,"06075021500",1
"8",2010,4,"06075022803",1
"9",2010,4,"06075021800",1
"10",2010,4,"06075021300",1
"11",2010,4,"06075017801",1
"12",2010,4,"06075012100",1
"13",2010,4,"06075010300",1
"14",2010,4,"06075021100",1
"15",2010,4,"06075020500",1
"16",2010,4,"06075047701",1
"17",2010,4,"06075025701",1
"18",2010,4,"06075042601",1
"19",2010,4,"06075015600",1
"20",2010,4,"06075030400",1
"21",2010,4,"06075016802",1
"22",2010,4,"06075013000",1
"23",2010,4,"06075017000",1
"24",2010,4,"06075020402",1
"25",2010,4,"06075021000",1
"26",2010,4,"06075015801",1
"27",2010,4,"06075023300",2
"28",2010,4,"06075012800",1
"29",2010,4,"06075031400",1
"30",2010,4,"06075022704",1
"31",2010,4,"06075010200",1
"32",2010,3,"06075020500",1
"33",2010,3,"06075021100",1
"34",2010,3,"06075025200",1
"35",2010,3,"06075022704",2
"36",2010,3,"06075047701",1
"37",2010,3,"06075017802",1
"38",2010,3,"06075012902",1
"39",2010,3,"06075023300",2
"40",2010,3,"06075035100",1
"41",2010,3,"06075031400",1
"42",2010,3,"06075020900",1
"43",2010,3,"06075016000",1
"44",2010,3,"06075061500",1
"45",2010,3,"06075060502",1
"46",2010,3,"06075015300",1
"47",2010,3,"06075061000",3
"48",2010,3,"06075012501",1
"49",2010,3,"06075012800",1
"50",2010,3,"06075025702",1
"51",2010,3,"06075030301",1
"52",2010,3,"06075025401",1
"53",2010,3,"06075017801",1
"54",2010,3,"06075021200",2
"55",2010,3,"06075020401",1
"56",2010,3,"06075042601",1
"57",2010,3,"06075021500",1
"58",2010,3,"06075031201",1
"59",2010,3,"06075010600",1
"60",2010,3,"06075020100",1
"61",2010,3,"06075020700",1
"62",2010,3,"06075047802",1
"63",2010,3,"06075026001",1
"64",2010,3,"06075017601",1
"65",2010,3,"06075010300",1
"66",2010,3,"06075016200",2
"67",2010,2,"06075016200",1
"68",2010,2,"06075010200",2
"69",2010,2,"06075012800",3
"70",2010,2,"06075023102",7
"71",2010,2,"06075042700",1
"72",2010,2,"06075020700",2
"73",2010,2,"06075022803",2
"74",2010,2,"06075022600",1
"75",2010,2,"06075021100",1
"76",2010,2,"06075026004",1
"77",2010,2,"06075022702",1
"78",2010,2,"06075017000",1
"79",2010,2,"06075025701",3
"80",2010,2,"06075021800",2
"81",2010,2,"06075017601",1
"82",2010,2,"06075021200",1
"83",2010,2,"06075047801",1
"84",2010,2,"06075011000",1
"85",2010,2,"06075021600",1
"86",2010,2,"06075025900",1
"87",2010,2,"06075020900",2
"88",2010,2,"06075045200",1
"89",2010,2,"06075042601",1
"90",2010,2,"06075023103",18
"91",2010,2,"06075012902",1
"92",2010,2,"06075061000",1
"93",2010,2,"06075016500",1
"94",2010,2,"06075011100",1
"95",2010,2,"06075015200",1
"96",2010,2,"06075061500",1
"97",2010,2,"06075015802",1
"98",2010,1,"06075021000",7
"99",2010,1,"06075040200",1
"100",2010,1,"06075016600",1
"101",2010,1,"06075012902",1
"102",2010,1,"06075016801",1
"103",2010,1,"06075013500",1
"104",2010,1,"06075031202",2
"105",2010,1,"06075025100",1
"106",2010,1,"06075015200",1
"107",2010,1,"06075016400",1
"108",2010,1,"06075013000",1
"109",2010,1,"06075026402",2
"110",2010,1,"06075061000",1
"111",2010,1,"06075022600",1
"112",2010,1,"06075061500",1
"113",2010,1,"06075030800",1
"114",2010,1,"06075015802",1
"115",2010,1,"06075020500",1
"116",2010,1,"06075017000",1
"117",2010,1,"06075030301",1
"118",2010,1,"06075061100",1
"119",2010,1,"06075022801",1
"120",2010,1,"06075020200",1
"121",2010,1,"06075020600",1
"122",2010,1,"06075011700",1
"123",2010,1,"06075026302",1
"124",2010,1,"06075017700",1
"125",2010,1,"06075040100",1
"126",2010,1,"06075021500",1
"127",2011,4,"06075061000",1
"128",2011,4,"06075047702",1
"129",2011,4,"06075020700",2
"130",2011,4,"06075025900",1
"131",2011,4,"06075061500",2
"132",2011,4,"06075025500",2
"133",2011,4,"06075031302",1
"134",2011,4,"06075020600",5
"135",2011,4,"06075015600",1
"136",2011,4,"06075015700",1
"137",2011,4,"06075013200",2
"138",2011,4,"06075026200",2
"139",2011,4,"06075011200",1
"140",2011,4,"06075020100",1
"141",2011,4,"06075010400",1
"142",2011,4,"06075020800",1
"143",2011,4,"06075035201",1
"144",2011,4,"06075017802",1
"145",2011,4,"06075022801",1
"146",2011,4,"06075020300",1
"147",2011,4,"06075031400",2
"148",2011,4,"06075032902",1
"149",2011,4,"06075021500",1
"150",2011,4,"06075021200",1
"151",2011,4,"06075047701",1
"152",2011,4,"06075026403",1
"153",2011,4,"06075016200",1
"154",2011,4,"06075025402",1
"155",2011,4,"06075026003",1
"156",2011,4,"06075012800",1
"157",2011,4,"06075017101",1
"158",2011,4,"06075013500",1
"159",2011,3,"06075015801",1
"160",2011,3,"06075020100",2
"161",2011,3,"06075017601",2
"162",2011,3,"06075017802",1
"163",2011,3,"06075023400",1
"164",2011,3,"06075035300",1
"165",2011,3,"06075021700",1
"166",2011,3,"06075026004",1
"167",2011,3,"06075022704",2
"168",2011,3,"06075047701",1
"169",2011,3,"06075016200",1
"170",2011,3,"06075021800",1
"171",2011,3,"06075010200",1
"172",2011,3,"06075016600",1
"173",2011,3,"06075015300",1
"174",2011,3,"06075025200",2
"175",2011,3,"06075021400",1
"176",2011,3,"06075026404",1
"177",2011,3,"06075032602",1
"178",2011,3,"06075045100",1
"179",2011,3,"06075021300",2
"180",2011,3,"06075042602",1
"181",2011,3,"06075012902",1
"182",2011,3,"06075021200",2
"183",2011,3,"06075035100",1
"184",2011,3,"06075025401",1
"185",2011,3,"06075032601",1
"186",2011,3,"06075030500",1
"187",2011,3,"06075025500",1
"188",2011,3,"06075030102",1
"189",2011,3,"06075025403",1
"190",2011,3,"06075012501",1
"191",2011,3,"06075061000",2
"192",2011,2,"06075061000",1
"193",2011,2,"06075061400",1
"194",2011,2,"06075020402",1
"195",2011,2,"06075025200",1
"196",2011,2,"06075021100",1
"197",2011,2,"06075011700",1
"198",2011,2,"06075013200",1
"199",2011,2,"06075047801",1
"200",2011,2,"06075020401",1
"201",2011,2,"06075025100",1
"202",2011,2,"06075060502",1
"203",2011,2,"06075026302",1
"204",2011,2,"06075035201",1
"205",2011,2,"06075016400",2
"206",2011,2,"06075016300",1
"207",2011,2,"06075061200",1
"208",2011,2,"06075017101",1
"209",2011,2,"06075031201",1
"210",2011,2,"06075021600",1
"211",2011,2,"06075032601",1
"212",2011,2,"06075040100",1
"213",2011,2,"06075030202",1
"214",2011,2,"06075023300",1
"215",2011,2,"06075021500",1
"216",2011,2,"06075022702",1
"217",2011,2,"06075025600",2
"218",2011,2,"06075031202",1
"219",2011,2,"06075045200",1
"220",2011,2,"06075047600",1
"221",2011,2,"06075035400",2
"222",2011,2,"06075011000",1
"223",2011,2,"06075047701",1
"224",2011,2,"06075022901",1
"225",2011,2,"06075031400",1
"226",2011,2,"06075022801",1
"227",2011,2,"06075013400",1
"228",2011,2,"06075035202",1
"229",2011,1,"06075025800",4
"230",2011,1,"06075026002",1
"231",2011,1,"06075010900",1
"232",2011,1,"06075047600",1
"233",2011,1,"06075020100",1
"234",2011,1,"06075031400",2
"235",2011,1,"06075042700",1
"236",2011,1,"06075022600",1
"237",2011,1,"06075047901",1
"238",2011,1,"06075016802",1
"239",2011,1,"06075011200",1
"240",2011,1,"06075047701",2
"241",2011,1,"06075061000",3
"242",2011,1,"06075030600",1
"243",2011,1,"06075061200",1
"244",2011,1,"06075012602",1
"245",2011,1,"06075020500",1
"246",2011,1,"06075012902",1
"247",2011,1,"06075025401",1
"248",2011,1,"06075061500",1
"249",2011,1,"06075026403",1
"250",2011,1,"06075021600",1
"251",2011,1,"06075025200",2
"252",2011,1,"06075017000",1
"253",2011,1,"06075030301",2
"254",2011,1,"06075030800",1
"255",2011,1,"06075023200",1
"256",2011,1,"06075022704",2
"257",2011,1,"06075025600",1
"258",2011,1,"06075010200",2
"259",2011,1,"06075047802",1
"260",2011,1,"06075015801",1
"261",2011,1,"06075016900",1
"262",2011,1,"06075025500",1
"263",2011,1,"06075020600",1
"264",2011,1,"06075025100",1
"265",2011,1,"06075026200",1
"266",2011,1,"06075061400",1
"267",2012,4,"06075025500",1
"268",2012,4,"06075060700",2
"269",2012,4,"06075061500",3
"270",2012,4,"06075012401",2
"271",2012,4,"06075023103",2
"272",2012,4,"06075021200",1
"273",2012,4,"06075025200",1
"274",2012,4,"06075021800",1
"275",2012,4,"06075015300",1
"276",2012,4,"06075022600",1
"277",2012,4,"06075015500",1
"278",2012,4,"06075020100",2
"279",2012,4,"06075013300",1
"280",2012,4,"06075017802",2
"281",2012,4,"06075015200",1
"282",2012,4,"06075013400",1
"283",2012,4,"06075015802",1
"284",2012,4,"06075026004",1
"285",2012,4,"06075040100",2
"286",2012,4,"06075013000",1
"287",2012,4,"06075021000",1
"288",2012,4,"06075021500",1
"289",2012,4,"06075061200",1
"290",2012,4,"06075033100",1
"291",2012,4,"06075045200",1
"292",2012,4,"06075012700",1
"293",2012,4,"06075026003",1
"294",2012,4,"06075022801",1
"295",2012,4,"06075020700",1
"296",2012,4,"06075031400",1
"297",2012,4,"06075015801",1
"298",2012,4,"06075020300",2
"299",2012,4,"06075020500",1
"300",2012,4,"06075015400",1
"301",2012,4,"06075021300",1
"302",2012,4,"06075011000",1
"303",2012,3,"06075011000",1
"304",2012,3,"06075040100",1
"305",2012,3,"06075025200",1
"306",2012,3,"06075017102",1
"307",2012,3,"06075042602",1
"308",2012,3,"06075012902",1
"309",2012,3,"06075011902",1
"310",2012,3,"06075011800",1
"311",2012,3,"06075030400",1
"312",2012,3,"06075020100",1
"313",2012,3,"06075010200",4
"314",2012,3,"06075021300",1
"315",2012,3,"06075020800",1
"316",2012,3,"06075040200",1
"317",2012,3,"06075021500",1
"318",2012,3,"06075016700",1
"319",2012,3,"06075020300",1
"320",2012,3,"06075013300",1
"321",2012,3,"06075022702",1
"322",2012,3,"06075017802",1
"323",2012,2,"06075025403",1
"324",2012,2,"06075020500",2
"325",2012,2,"06075016400",1
"326",2012,2,"06075042602",1
"327",2012,2,"06075020100",1
"328",2012,2,"06075022600",1
"329",2012,2,"06075040200",1
"330",2012,2,"06075015700",1
"331",2012,2,"06075030800",1
"332",2012,2,"06075031000",1
"333",2012,2,"06075025800",1
"334",2012,2,"06075016100",1
"335",2012,2,"06075022704",1
"336",2012,2,"06075025500",1
"337",2012,2,"06075035201",1
"338",2012,2,"06075021000",1
"339",2012,2,"06075020600",1
"340",2012,2,"06075023200",1
"341",2012,2,"06075017802",1
"342",2012,2,"06075032801",1
"343",2012,2,"06075016802",1
"344",2012,2,"06075022801",1
"345",2012,2,"06075015200",1
"346",2012,2,"06075012201",1
"347",2012,2,"06075012800",1
"348",2012,2,"06075020800",1
"349",2012,2,"06075013000",1
"350",2012,2,"06075013400",1
"351",2012,2,"06075010200",1
"352",2012,2,"06075021400",1
"353",2012,2,"06075020200",1
"354",2012,1,"06075020700",1
"355",2012,1,"06075021500",2
"356",2012,1,"06075032801",1
"357",2012,1,"06075011200",2
"358",2012,1,"06075031400",7
"359",2012,1,"06075030101",1
"360",2012,1,"06075030301",1
"361",2012,1,"06075013101",1
"362",2012,1,"06075013500",1
"363",2012,1,"06075022902",1
"364",2012,1,"06075040100",1
"365",2012,1,"06075017601",1
"366",2012,1,"06075020401",2
"367",2012,1,"06075020200",2
"368",2012,1,"06075030201",1
"369",2012,1,"06075023103",12
"370",2012,1,"06075047801",1
"371",2012,1,"06075022903",1
"372",2012,1,"06075013102",1
"373",2012,1,"06075013000",2
"374",2012,1,"06075061000",1
"375",2012,1,"06075025900",1
"376",2012,1,"06075061500",1
"377",2013,4,"06075016802",1
"378",2013,4,"06075017601",3
"379",2013,4,"06075016200",1
"380",2013,4,"06075022803",2
"381",2013,4,"06075010900",1
"382",2013,4,"06075020700",1
"383",2013,4,"06075031301",1
"384",2013,4,"06075022801",1
"385",2013,4,"06075061500",1
"386",2013,4,"06075022600",1
"387",2013,4,"06075020300",2
"388",2013,4,"06075042700",1
"389",2013,4,"06075012901",1
"390",2013,4,"06075023300",1
"391",2013,4,"06075022704",1
"392",2013,4,"06075021500",1
"393",2013,4,"06075032700",1
"394",2013,4,"06075021400",2
"395",2013,4,"06075011200",1
"396",2013,4,"06075016700",1
"397",2013,4,"06075023003",1
"398",2013,4,"06075030800",1
"399",2013,4,"06075033000",1
"400",2013,4,"06075061400",1
"401",2013,4,"06075031302",1
"402",2013,4,"06075022702",1
"403",2013,4,"06075030302",1
"404",2013,4,"06075047802",2
"405",2013,4,"06075021700",1
"406",2013,4,"06075021600",1
"407",2013,4,"06075061200",1
"408",2013,4,"06075010200",1
"409",2013,4,"06075030301",1
"410",2013,4,"06075020500",1
"411",2013,4,"06075012902",1
"412",2013,4,"06075026004",1
"413",2013,4,"06075017802",1
"414",2013,4,"06075031400",1
"415",2013,3,"06075020100",4
"416",2013,3,"06075012000",1
"417",2013,3,"06075030400",1
"418",2013,3,"06075022901",1
"419",2013,3,"06075025300",1
"420",2013,3,"06075020200",1
"421",2013,3,"06075047901",1
"422",2013,3,"06075030202",3
"423",2013,3,"06075020300",1
"424",2013,3,"06075031302",1
"425",2013,3,"06075031400",2
"426",2013,3,"06075013300",1
"427",2013,3,"06075026200",1
"428",2013,3,"06075026002",2
"429",2013,3,"06075026302",1
"430",2013,3,"06075025100",1
"431",2013,3,"06075015500",1
"432",2013,3,"06075012800",1
"433",2013,3,"06075026402",1
"434",2013,3,"06075017802",1
"435",2013,3,"06075032700",1
"436",2013,3,"06075025600",1
"437",2013,3,"06075015801",1
"438",2013,3,"06075047802",1
"439",2013,3,"06075031100",2
"440",2013,3,"06075035100",2
"441",2013,3,"06075020402",1
"442",2013,3,"06075016802",2
"443",2013,3,"06075025500",1
"444",2013,3,"06075021800",1
"445",2013,3,"06075013000",1
"446",2013,3,"06075017601",1
"447",2013,3,"06075026001",2
"448",2013,3,"06075015802",1
"449",2013,3,"06075016200",1
"450",2013,3,"06075025701",1
"451",2013,3,"06075022704",1
"452",2013,3,"06075045200",1
"453",2013,3,"06075023003",1
"454",2013,3,"06075023103",1
"455",2013,3,"06075023300",1
"456",2013,3,"06075021300",1
"457",2013,3,"06075026100",1
"458",2013,3,"06075020600",1
"459",2013,3,"06075025402",1
"460",2013,3,"06075031201",1
"461",2013,2,"06075026303",1
"462",2013,2,"06075021200",2
"463",2013,2,"06075061100",1
"464",2013,2,"06075011800",1
"465",2013,2,"06075030800",1
"466",2013,2,"06075031202",2
"467",2013,2,"06075025402",1
"468",2013,2,"06075026100",1
"469",2013,2,"06075012301",1
"470",2013,2,"06075011000",1
"471",2013,2,"06075025401",1
"472",2013,2,"06075012800",1
"473",2013,2,"06075013200",1
"474",2013,2,"06075010200",1
"475",2013,2,"06075032700",2
"476",2013,2,"06075026403",1
"477",2013,2,"06075023003",2
"478",2013,2,"06075023200",1
"479",2013,2,"06075017601",2
"480",2013,2,"06075017802",3
"481",2013,2,"06075016900",2
"482",2013,2,"06075015801",1
"483",2013,2,"06075016802",2
"484",2013,2,"06075033000",1
"485",2013,2,"06075020500",1
"486",2013,2,"06075025500",1
"487",2013,2,"06075023001",2
"488",2013,2,"06075020401",1
"489",2013,2,"06075012000",2
"490",2013,2,"06075022901",1
"491",2013,2,"06075031302",1
"492",2013,2,"06075020100",1
"493",2013,2,"06075012201",1
"494",2013,2,"06075020200",1
"495",2013,2,"06075015200",1
"496",2013,2,"06075023103",1
"497",2013,2,"06075032902",2
"498",2013,2,"06075021700",1
"499",2013,2,"06075012901",1
"500",2013,1,"06075012902",3
"501",2013,1,"06075012901",1
"502",2013,1,"06075023003",1
"503",2013,1,"06075042602",2
"504",2013,1,"06075031202",1
"505",2013,1,"06075032700",1
"506",2013,1,"06075016500",1
"507",2013,1,"06075021400",1
"508",2013,1,"06075026001",1
"509",2013,1,"06075031201",4
"510",2013,1,"06075017102",2
"511",2013,1,"06075031301",1
"512",2013,1,"06075031302",1
"513",2013,1,"06075023001",1
"514",2013,1,"06075061400",1
"515",2013,1,"06075011100",1
"516",2013,1,"06075061200",1
"517",2013,1,"06075033000",2
"518",2013,1,"06075047600",1
"519",2013,1,"06075045100",1
"520",2013,1,"06075021700",2
"521",2013,1,"06075030101",1
"522",2013,1,"06075025200",2
"523",2013,1,"06075061500",1
"524",2013,1,"06075031400",1
"525",2013,1,"06075016000",1
"526",2013,1,"06075023200",1
"527",2013,1,"06075025500",1
"528",2013,1,"06075013000",1
"529",2013,1,"06075025701",2
"530",2013,1,"06075017802",1
"531",2013,1,"06075035300",1
"532",2013,1,"06075047901",2
"533",2013,1,"06075025100",1
"534",2013,1,"06075030400",1
"535",2013,1,"06075016700",1
"536",2013,1,"06075015300",1
"537",2013,1,"06075040100",1
"538",2013,1,"06075016200",1
"539",2013,1,"06075021500",2
"540",2013,1,"06075040200",1
"541",2013,1,"06075035202",1
"542",2013,1,"06075030700",1
"543",2013,1,"06075047802",1
"544",2013,1,"06075020200",1
"545",2013,1,"06075023300",1
"546",2013,1,"06075047902",1
"547",2013,1,"06075026403",1
"548",2013,1,"06075011902",1
"549",2013,1,"06075030301",3
"550",2013,1,"06075026003",1
"551",2014,4,"06075980900",1
"552",2014,4,"06075017101",1
"553",2014,4,"06075023001",1
"554",2014,4,"06075016802",1
"555",2014,4,"06075021000",2
"556",2014,4,"06075060700",3
"557",2014,4,"06075033203",4
"558",2014,4,"06075021600",2
"559",2014,4,"06075022902",1
"560",2014,4,"06075022903",1
"561",2014,4,"06075013400",1
"562",2014,4,"06075022801",1
"563",2014,4,"06075020200",1
"564",2014,4,"06075016900",2
"565",2014,4,"06075017700",1
"566",2014,4,"06075016300",1
"567",2014,4,"06075021800",2
"568",2014,4,"06075025701",2
